"","YearMonth","site","Species","average_value","YearMonthSite","cape"
"1",Mar 2023,"BB","Lessoniopsis littoralis",4.67857142857143,"Mar 2023_BB","Foulweather"
"2",Mar 2023,"CB","Hedophyllum sessile",1.60606060606061,"Mar 2023_CB","Blanco"
"3",Mar 2023,"FC","Postelsia palmaeformis",48.3125,"Mar 2023_FC","Foulweather"
"4",Mar 2023,"SH","Hedophyllum sessile",9.07692307692308,"Mar 2023_SH","Perpetua"
"5",Apr 2023,"CB","Alaria marginata",2.2,"Apr 2023_CB","Blanco"
"6",Apr 2023,"CB","Postelsia palmaeformis",23.3571428571429,"Apr 2023_CB","Blanco"
"7",Apr 2023,"RP","Hedophyllum sessile",4.07142857142857,"Apr 2023_RP","Blanco"
"8",May 2023,"BB","Egregia menziesii",2.84848484848485,"May 2023_BB","Foulweather"
"9",May 2023,"CB","Hedophyllum sessile",2.76923076923077,"May 2023_CB","Blanco"
"10",May 2023,"FC","Postelsia palmaeformis",49.0833333333333,"May 2023_FC","Foulweather"
"11",May 2023,"RP","Alaria marginata",5.83783783783784,"May 2023_RP","Blanco"
"12",May 2023,"RP","Egregia menziesii",0,"May 2023_RP","Blanco"
"13",May 2023,"RP","Hedophyllum sessile",3.76666666666667,"May 2023_RP","Blanco"
"14",May 2023,"YB","Hedophyllum sessile",3.5,"May 2023_YB","Perpetua"
"15",Jun 2023,"BB","Alaria marginata",2.08,"Jun 2023_BB","Foulweather"
"16",Jun 2023,"BB","Hedophyllum sessile",2.46511627906977,"Jun 2023_BB","Foulweather"
"17",Jun 2023,"CB","Alaria marginata",2.47619047619048,"Jun 2023_CB","Blanco"
"18",Jun 2023,"FC","Egregia menziesii",4.16666666666667,"Jun 2023_FC","Foulweather"
"19",Jun 2023,"FC","Hedophyllum sessile",2.63513513513514,"Jun 2023_FC","Foulweather"
"20",Jun 2023,"FC","Lessoniopsis littoralis",1.33333333333333,"Jun 2023_FC","Foulweather"
"21",Jun 2023,"FC","Postelsia palmaeformis",19.7857142857143,"Jun 2023_FC","Foulweather"
"22",Jun 2023,"RP","Alaria marginata",4.16326530612245,"Jun 2023_RP","Blanco"
"23",Jun 2023,"RP","Egregia menziesii",1,"Jun 2023_RP","Blanco"
"24",Jun 2023,"RP","Hedophyllum sessile",2.20408163265306,"Jun 2023_RP","Blanco"
"25",Jun 2023,"SH","Egregia menziesii",1.54545454545455,"Jun 2023_SH","Perpetua"
"26",Jun 2023,"SH","Hedophyllum sessile",1.94565217391304,"Jun 2023_SH","Perpetua"
"27",Jun 2023,"SH","Laminaria sinclairii",36,"Jun 2023_SH","Perpetua"
"28",Jun 2023,"YB","Egregia menziesii",0.6,"Jun 2023_YB","Perpetua"
"29",Jun 2023,"YB","Hedophyllum sessile",2.89622641509434,"Jun 2023_YB","Perpetua"
"30",Jun 2023,"YB","Postelsia palmaeformis",16.8846153846154,"Jun 2023_YB","Perpetua"
"31",Jul 2023,"BB","Alaria marginata",2.90909090909091,"Jul 2023_BB","Foulweather"
"32",Jul 2023,"BB","Egregia menziesii",0.377777777777778,"Jul 2023_BB","Foulweather"
"33",Jul 2023,"BB","Hedophyllum sessile",2.09090909090909,"Jul 2023_BB","Foulweather"
"34",Jul 2023,"BB","Lessoniopsis littoralis",2.84615384615385,"Jul 2023_BB","Foulweather"
"35",Jul 2023,"CB","Alaria marginata",2.08333333333333,"Jul 2023_CB","Blanco"
"36",Jul 2023,"CB","Hedophyllum sessile",0.793103448275862,"Jul 2023_CB","Blanco"
"37",Jul 2023,"CB","Lessoniopsis littoralis",1.42857142857143,"Jul 2023_CB","Blanco"
"38",Jul 2023,"CB","Postelsia palmaeformis",5.71428571428571,"Jul 2023_CB","Blanco"
"39",Jul 2023,"FC","Egregia menziesii",0.288888888888889,"Jul 2023_FC","Foulweather"
"40",Jul 2023,"FC","Hedophyllum sessile",0.808510638297872,"Jul 2023_FC","Foulweather"
"41",Jul 2023,"FC","Lessoniopsis littoralis",2.046875,"Jul 2023_FC","Foulweather"
"42",Jul 2023,"FC","Postelsia palmaeformis",7.625,"Jul 2023_FC","Foulweather"
"43",Jul 2023,"RP","Alaria marginata",2.84375,"Jul 2023_RP","Blanco"
"44",Jul 2023,"RP","Egregia menziesii",0.16,"Jul 2023_RP","Blanco"
"45",Jul 2023,"RP","Hedophyllum sessile",1.14285714285714,"Jul 2023_RP","Blanco"
"46",Jul 2023,"SH","Egregia menziesii",0.844444444444445,"Jul 2023_SH","Perpetua"
"47",Jul 2023,"SH","Hedophyllum sessile",2.04054054054054,"Jul 2023_SH","Perpetua"
"48",Jul 2023,"SH","Laminaria sinclairii",38.4347826086956,"Jul 2023_SH","Perpetua"
"49",Jul 2023,"YB","Egregia menziesii",0.6875,"Jul 2023_YB","Perpetua"
"50",Jul 2023,"YB","Hedophyllum sessile",1.23728813559322,"Jul 2023_YB","Perpetua"
"51",Jul 2023,"YB","Laminaria sinclairii",17.7777777777778,"Jul 2023_YB","Perpetua"
"52",Jul 2023,"YB","Postelsia palmaeformis",12.1034482758621,"Jul 2023_YB","Perpetua"
"53",Aug 2023,"BB","Alaria marginata",4.57575757575758,"Aug 2023_BB","Foulweather"
"54",Aug 2023,"BB","Hedophyllum sessile",0.740740740740741,"Aug 2023_BB","Foulweather"
"55",Aug 2023,"CB","Alaria marginata",1.15625,"Aug 2023_CB","Blanco"
"56",Aug 2023,"CB","Egregia menziesii",0.0666666666666667,"Aug 2023_CB","Blanco"
"57",Aug 2023,"CB","Hedophyllum sessile",1,"Aug 2023_CB","Blanco"
"58",Aug 2023,"CB","Lessoniopsis littoralis",0.796296296296296,"Aug 2023_CB","Blanco"
"59",Aug 2023,"CB","Postelsia palmaeformis",5.45454545454546,"Aug 2023_CB","Blanco"
"60",Aug 2023,"FC","Hedophyllum sessile",0.3,"Aug 2023_FC","Foulweather"
"61",Aug 2023,"FC","Postelsia palmaeformis",4,"Aug 2023_FC","Foulweather"
"62",Aug 2023,"RP","Alaria marginata",1.15,"Aug 2023_RP","Blanco"
"63",Aug 2023,"RP","Egregia menziesii",0.1,"Aug 2023_RP","Blanco"
"64",Aug 2023,"RP","Hedophyllum sessile",2.52941176470588,"Aug 2023_RP","Blanco"
"65",Aug 2023,"SH","Egregia menziesii",0.2,"Aug 2023_SH","Perpetua"
"66",Aug 2023,"SH","Hedophyllum sessile",0.62962962962963,"Aug 2023_SH","Perpetua"
"67",Aug 2023,"YB","Egregia menziesii",0.166666666666667,"Aug 2023_YB","Perpetua"
"68",Aug 2023,"YB","Hedophyllum sessile",2.39130434782609,"Aug 2023_YB","Perpetua"
"69",Aug 2023,"YB","Laminaria sinclairii",13.75,"Aug 2023_YB","Perpetua"
"70",Aug 2023,"YB","Postelsia palmaeformis",7.82758620689655,"Aug 2023_YB","Perpetua"
"71",Sep 2023,"BB","Egregia menziesii",0.04,"Sep 2023_BB","Foulweather"
"72",Sep 2023,"BB","Hedophyllum sessile",1.03448275862069,"Sep 2023_BB","Foulweather"
"73",Sep 2023,"TK","Alaria marginata",1,"Sep 2023_TK","Perpetua"
"74",Nov 2023,"BB","Hedophyllum sessile",2.79411764705882,"Nov 2023_BB","Foulweather"
"75",Nov 2023,"FC","Hedophyllum sessile",1.70833333333333,"Nov 2023_FC","Foulweather"
